CRISNO,NAME,YEAR,HISTORY,ACTOR 1,ACTOR 2,A1 NUKES,A2 NUKES,A1 THREAT,A2 THREAT,A1 INTENSITY,A2 INTENSITY,KINETIC,# ACTORS,A1 DEMOCRACY,A2 DEMOCRACY,A1 AWARENESS,A2 AWARENESS,INDEPENDENCE,SALIENCE,A1 OUTCOME,A2 OUTCOME,COMPLEXITY,NOTES,,,,,,,,,,,,,,
450,N. KOREA NUCLEAR III,2006,5,PRK,RUS,,,NUCLEAR,ECONOMIC,3,3,0,5,0,0,1,1,0,2,LOSS,NEUTRAL,0,RUS condemned the test - United Nations Security Council Resolution 1695 and https://www.researchgate.net/publication/353495567_The_policy_of_Russia_towards_North_Korea_in_years_2009-2019,,,,,,,,,,,,,,
451,ISRAEL LEBANON WAR II,2006,1,LEB,ISR,,,CONVENTIONAL,,2,,1,4,0,1,1,1,1,3,WIN,NEUTRAL,0,"note: some sources say Hezabollah is Labanese-backed, which is why Lebanon is coded as initiator. https://www.hrw.org/reports/2007/lebanon0907/7.htm and https://justvision.org/glossary/2006-lebanon-war",,,,,,,,,,,,,,
453,CHAD-SUDAN III,2007,1,CHA,SUD,,,CONVENTIONAL,,1,,1,2,1,0,1,1,0,1,NEUTRAL,,0,continuation of earlier conflict,,,,,,,,,,,,,,
453,CHAD-SUDAN III,2007,2,CHA,SUD,,,,,,,,,,,,,,,,,,potentially not a case,,,,,,,,,,,,,,
454,ETHIOPIA-ERITREA III,2007,1,ETH,ERI,,,BORDER,,3,,1,2,1,0,1,1,0,1,NEUTRAL,NEUTRAL,0,ETH attacked first - https://www.jstor.org/stable/27756259?seq=2,,,,,,,,,,,,,,
455,CHAD-SUDAN IV,2007,1,CHA,SUD,,,CONVENTIONAL,,1,1,1,2,1,0,1,1,0,2,NEUTRAL,NEUTRAL,0,continuation of earlier conflict; alternative coding could be who initiated first based on earlier failed talks/ceasefire - https://www.reuters.com/article/idUSSIB061530/,,,,,,,,,,,,,,
456,DJIBOUTI-ERITREA,2008,1,DJI,ERI,,,,BORDER,,3,1,2,0,0,1,1,1,3,NEUTRAL,NEUTRAL,0,longstanding tensions on border; ETH is coded as initiator for attempting to take over DJI territory first https://ucdp.uu.se/additionalinfo/435/1,,,,,,,,,,,,,,
457,PREAH VIHEAR TEMPLE I,2008,1,THI,CAM,,,BORDER,,2,2,1,2,1,0,1,1,1,2,LOSS,WIN,0,"an argument exists that this wasn't really a border conflict, but a posession-of-cultural site one - maybe not even a true case? https://www.researchgate.net/publication/300211130_The_Thailand-Cambodia_Preah_Vihear_Temple_Dispute_Its_Past_Present_and_Future also https://www.aljazeera.com/features/2013/11/13/ruling-doesnt-quell-thai-cambodia-border-row/ also https://www.archaeology.org/issues/83-1303/letter-from/547-preah-vihear-cambodia-thailand-khmer-temple",,,,,,,,,,,,,,
457,PREAH VIHEAR TEMPLE I,2008,2,THI,CAM,,,,,,,,,,,,,,,,,,potentially not a case,,,,,,,,,,,,,,
458,RUSSO-GEORGIAN WAR,2008,1,GRG,RUS,,,,CONVENTIONAL,,3,1,2,1,0,1,1,0,3,LOSS,WIN,0,https://www.rferl.org/a/georgia-war-russia-start-controversy/32537938.html,,,,,,,,,,,,,,
458,RUSSO-GEORGIAN WAR,2008,2,GRG,RUS, ,,CONVENTIONAL,CONVENTIONAL,4,3,1,2,1,0,1,1,0,3,LOSS,WIN,0,"difficult to prove who started, also confusion about August 7 vs August 8th instigation date",,,,,,,,,,,,,,
459,N. KOREA NUCLEAR IV,2009,1,PRK,USA,,,NUCLEAR,,4,,0,4,0,1,1,1,0,4,WIN,NEUTRAL,1,https://kls.law.columbia.edu/content/north-koreas-nuclear-program-history,,,,,,,,,,,,,,
459,N. KOREA NUCLEAR IV,2009,2,PRK,ROK,,,NUCLEAR,,3,,0,4,0,1,1,1,0,3,LOSS,NEUTRAL,0,https://kls.law.columbia.edu/content/north-koreas-nuclear-program-history,,,,,,,,,,,,,,
459,N. KOREA NUCLEAR IV,2009,3,PRK,JPN,,,NUCLEAR,,3,,0,4,0,1,1,1,0,3,LOSS,NEUTRAL,0,https://kls.law.columbia.edu/content/north-koreas-nuclear-program-history,,,,,,,,,,,,,,
460,CHAD-SUDAN V,2009,1,CHA,SUD,,,CONVENTIONAL,CONVENTIONAL,1,1,1,2,1,0,1,1,0,2,NEUTRAL,NEUTRAL,0,https://www.aljazeera.com/news/2009/5/9/un-condemns-rebel-offensive-in-chad and https://2009-2017.state.gov/r/pa/prs/ps/2010/01/135476.htm and https://www.hrw.org/world-report/2010/country-chapters/chad,,,,,,,,,,,,,,
461,CHEONAN SINKING,2010,1,PRK,ROK,,,CONVENTIONAL,,2,,1,2,0,1,1,1,1,2,NEUTRAL,NEUTRAL,0,https://www.democracynow.org/2010/5/27/nk,,,,,,,,,,,,,,
462,YEONPYEONG ISLAND,2010,1,PRK,ROK,,,CONVENTIONAL,,3,,1,3,0,1,1,1,1,2,NEUTRAL,NEUTRAL,0,"https://apps.dtic.mil/sti/citations/AD1031035#:~:text=Abstract%3A,and%20damaging%20over%20100%20buildings",,,,,,,,,,,,,,
463,PREAH VIHEAR TEMPLE II,2011,1,THI,CAM,,,CONVENTIONAL,CONVENTIONAL,1,1,1,2,1,0,1,1,0,1,NEUTRAL,NEUTRAL,0,unclear who initiated; multiple alternative codings exist. think about adding rows because this is a long/overarching conflict? + actors is likely incorrect,,,,,,,,,,,,,,
464,LIBYAN CIVILWAR,2011,1,USA,LIB,,,,CONVENTIONAL,,4,1,3,1,0,1,1,0,1,NEUTRAL,NEUTRAL,1,"complex and perhaps part of the greater Libyan Civil War conflict 2011 - 2020, may not be a case https://www.reuters.com/article/idUSTRE77K2QH/",,,,,,,,,,,,,,
464,LIBYAN CIVILWAR,2011,2,FRA,LIB,,,CONVENTIONAL,CONVENTIONAL,1,3,1,3,1,0,1,1,0,1,NEUTRAL,NEUTRAL,1,"complex and perhaps part of the greater Libyan Civil War conflict 2011 - 2020, may not be a case https://www.reuters.com/article/idUSTRE77K2QH/. lots of peripheral actors, many NATO-affiliated (US, Belgium, Italy, etc.) https://en.wikipedia.org/wiki/2011_military_intervention_in_Libya#Forces_committed https://en.wikipedia.org/wiki/France–Libya_relations",,,,,,,,,,,,,,
466,SUDAN-SOUTH SUDAN,2011,,SUD,SSD,,,,CONVENTIONAL,,2,1,2,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,never fully resolved and https://carnegieendowment.org/2012/05/16/sudan-from-conflict-to-conflict-pub-48140 - slightly unclear who initiated/could be coded as a border issue,,,,,,,,,,,,,,
469,N. KOREA NUCLEAR V,2013,1,ROK,PRK,,,CONVENTIONAL,NUCLEAR,3,4,0,5,1,0,1,1,0,4,WIN,LOSS,0,https://www.nytimes.com/interactive/2014/11/20/world/asia/northkorea-timeline.html#/#time238_10529,,,,,,,,,,,,,,
469,N. KOREA NUCLEAR V,2013,2,USA,PRK,,,ECONOMIC,NUCLEAR,3,3,0,5,1,0,1,1,0,3,NEUTRAL,LOSS,0,,,,,,,,,,,,,,,
469,N. KOREA NUCLEAR V,2013,3,JPN,PRK,,,ECONOMIC,NUCLEAR,3,4,0,5,1,0,1,1,0,4,NEUTRAL,LOSS,0,"missles were launched into sea of Japan; after conflict, everything returned mostly to status quo",,,,,,,,,,,,,,
469,N. KOREA NUCLEAR V,2013,4,CHN,PRK,,,OTHER,,2,,0,5,0,0,1,1,0,1,WIN,LOSS,0,"China pressured its ally to cooperate, no formal threat",,,,,,,,,,,,,,
470,SYRIA CHEMICAL WEAPONS,2013,1,USA,SYR,,,CONVENTIONAL,,2,,0,2,1,0,1,1,1,1,NEUTRAL,LOSS,0,"Syria had to destroy its chemicals weopons (hence its loss) - https://www.tandfonline.com/doi/full/10.1080/09636412.2020.1859130. Non-kinetic, since no credible sources about military deaths.",,,,,,,,,,,,,,
471,CRIMEA-DONBAS,2014,1,RUS,UKR,,,CONVENTIONAL,,3,,1,2,0,1,1,1,0,2,NEUTRAL,NEUTRAL,0,"involved state-backed groups on both sides, also Russia wanted Crimea - https://www.crisisgroup.org/content/conflict-ukraines-donbas-visual-explainer. Resolutions with France/Germany didn't work out, so not coded as actors",,,,,,,,,,,,,,
472,CHINESE OIL RIG,2014,1,DRV,CHN,,,,CONVENTIONAL,,1,0,2,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,"group that placed oil rig was Chinese government-backed - https://www.csis.org/analysis/china-vietnam-tensions-high-over-drilling-rig-disputed-waters, no confirmed deaths https://www.cnn.com/2014/05/19/world/asia/china-vietnam-islands-oil-rig-explainer/index.html",,,,,,,,,,,,,,
473,INDIA-PAKISTAN BORDER FIRING,2014,1,IND,PAK,,,CONVENTIONAL,CONVENTIONAL,1,1,1,2,1,0,1,1,0,1,NEUTRAL,NEUTRAL,0,"might not be a conflict/part of a greater issue from 2014 and onward. lots of incidents of breaking ceasefire, etc. unclear who initiated. https://www.reuters.com/article/us-india-pakistan-idUSKBN2AP0PG/ and https://economictimes.indiatimes.com/news/politics-and-nation/jk-2014-records-562-ceasefire-violations-highest-in-11-years/articleshow/45667451.cms?from=mdr",,,,,,,,,,,,,,
475,KOREAN LAND MINE,2015,1,ROK,PRK,,,,CONVENTIONAL,,4,1,2,1,0,1,1,1,1,NEUTRAL,LOSS,0,https://www.nytimes.com/2015/08/11/world/asia/north-korea-placed-mines-that-maimed-2-south-korean-soldiers-at-dmz-seoul-says.html and https://www.cnn.com/2015/08/20/asia/koreas-tensions/index.html,,,,,,,,,,,,,,
476,TURKEY-RUSSIA JET INCIDENT,2015,1,TUR,RUS,,,,,2,1,1,3,1,0,1,1,1,2,NEUTRAL,NEUTRAL,1,may not be a conflict https://www.cnn.com/2015/11/24/middleeast/russia-turkey-jet-downed-syria/index.html and https://www.bbc.com/news/world-middle-east-34912581 and https://www.nytimes.com/2015/11/25/world/europe/turkey-syria-russia-military-plane.html,,,,,,,,,,,,,,
476,TURKEY-RUSSIA JET INCIDENT,2015,2,TUR,RUS,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
476,TURKEY-RUSSIA JET INCIDENT,2015,3,USA,RUS,,,ECONOMIC,,1,,0,3,1,0,1,1,1,1,NEUTRAL,NEUTRAL,1,"may not be a conflict, question of self-defense on Turkey's part and the US siding with Turkey",,,,,,,,,,,,,,
477,NORTH KOREA NUCLEAR VI,2016,1,ROK,PRK,,,,NUCLEAR,,3,0,5,1,0,1,1,0,4,NEUTRAL,NEUTRAL,0,https://kls.law.columbia.edu/content/north-koreas-nuclear-program-history,,,,,,,,,,,,,,
477,NORTH KOREA NUCLEAR VI,2016,2,USA,PRK,,,ECONOMIC,NUCLEAR,2,3,0,5,1,0,1,1,0,3,NEUTRAL,NEUTRAL,0,https://www.bbc.com/news/world-asia-35638008,,,,,,,,,,,,,,
477,NORTH KOREA NUCLEAR VI,2016,3,JPN,PRK,,,,NUCLEAR,,3,0,5,1,0,1,1,0,2,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
477,NORTH KOREA NUCLEAR VI,2016,4,CHN,PRK,,,ECONOMIC,,3,,0,5,0,0,1,1,0,2,NEUTRAL,NEUTRAL,0,https://www.bbc.com/news/world-asia-35638008,,,,,,,,,,,,,,
484,SERBIAN TRAIN INCIDENT,2016,1,SER,KOS,,,,,,,,,,,,,,,,,,not a conflict. source: https://www.rferl.org/a/balkans-withou-borders-serbia-kosovo-train-crisis-mitrovica/28237545.html,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,CAMBODIAN PEACE CONFERENCE,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,INVASION OF PANAMA,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,KASMIR III,1990,,IND,PAK,,,CONVENTIONAL,NUCLEAR,4,4,0,2,1,1,1,1,0,4,WIN,LOSS,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,KUW,,,CONVENTIONAL,CONVENTIONAL,4,4,1,9,0,0,1,1,1,4,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,USA,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,1,1,1,1,5,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,UKG,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,1,1,1,1,5,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,SAU,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,0,1,1,1,5,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,EGY,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,0,1,1,1,5,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,FRN,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,1,1,1,1,5,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,SYR,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,1,1,1,1,3,LOSS,WIN,,,,,,,,,,,,,,,,
393,GULF WAR,1990,,IRQ,MOR,,,CONVENTIONAL,CONVENTIONAL,3,4,1,9,0,0,1,1,1,3,LOSS,WIN,,,,,,,,,,,,,,,,
397,YUGOSLAVIA I: CROATIA-SLOVENIA,1991,,CRO,YUG,,,CONVENTIONAL,CONVENTIONAL,5,5,1,3,0,0,1,1,0,,,,,,,,,,,,,,,,,,,
397,YUGOSLAVIA I: CROATIA-SLOVENIA,1991,,SLV,YUG,,,CONVENTIONAL,CONVENTIONAL,5,5,1,3,0,0,1,1,0,4,WIN,LOSS,,,,,,,,,,,,,,,,
399,FOREIGN INTERV.-ZAIRE,1991,,FRN,DRC,,,CONVENTIONAL,CONVENTIONAL,2,1,1,3,1,0,1,1,1,4,WIN,LOSS,,,,,,,,,,,,,,,,
399,FOREIGN INTERV.-ZAIRE,1991,,BEL,DRC,,,CONVENTIONAL,CONVENTIONAL,2,1,1,3,1,0,1,1,1,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
400,ECUADOR/PERUBDR. IV,1991,,PER,ECU,,,CONVENTIONAL,CONVENTIONAL,2,2,1,2,1,1,1,1,0,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
401,NAGORNYY-KARABAKH,1991,,ARM,AZE,,,CONVENTIONAL,CONVENTIONAL,5,5,1,4,1,1,1,1,1,3,NEUTRAL,NEUTRAL,,https://web.stanford.edu/group/tomzgroup/pmwiki/uploads/3987-1991-10-KS-a-RCW.pdf,,,,,,,,,,,,,,
401,NAGORNYY-KARABAKH,1991,,ARM,TUR,,,CONVENTIONAL,CONVENTIONAL,4,4,1,4,1,1,1,1,1,4,WIN,LOSS,,,,,,,,,,,,,,,,
401,NAGORNYY-KARABAKH,1991,,RUS,AZE,,,CONVENTIONAL,CONVENTIONAL,3,3,1,4,0,1,1,1,1,3,WIN,LOSS,,,,,,,,,,,,,,,,
402,EGYPT/SUDAN BDR. II,1992,,EGY,SUD,,,CONVENTIONAL,OTHER,3,1,0,2,0,0,1,1,0,3,WIN,LOSS,,,,,,,,,,,,,,,,
403,YUGOSLAVIA II: BOSNIA,1992,,BOS,SER,,,CONVENTIONAL,CONVENTIONAL,5,5,1,3,0,0,1,1,0,2,WIN,LOSS,,https://www.jstor.org/stable/4284308?seq=4 ; https://www.jstage.jst.go.jp/article/merev/7/0/7_Vol.7_E-Art02/_html/-char/en,,,,,,,,,,,,,,
403,YUGOSLAVIA II: BOSNIA,1992,,CRO,SER,,,CONVENTIONAL,CONVENTIONAL,5,5,1,3,0,0,1,1,0,4,WIN,LOSS,,,,,,,,,,,,,,,,
403,YUGOSLAVIA II: BOSNIA,1992,,USA,SER,,,ECONOMIC,,3,0,0,3,1,0,1,1,0,4,WIN,LOSS,,,,,,,,,,,,,,,,
404,PAPUA/SOLOMON,1992,,PNG,SOL,,,CONVENTIONAL,OTHER,2,1,1,2,1,1,1,1,0,3,WIN,LOSS,,,,,,,,,,,,,,,,
405,SLEEPING DOG HILL,1992,,MYA,THI,,,CONVENTIONAL,CONVENTIONAL,3,3,1,2,0,0,1,1,0,1,NEUTRAL,NEUTRAL,,https://uca.edu/politicalscience/home/research-projects/dadm-project/asiapacific-region/papua-new-guineabougainville-1975-present/ ; https://www.jstor.org/stable/2645332?seq=6,,,,,,,,,,,,,,
408,N. KOREA NUCLEAR I,1993,,PRK,USA,,,NUCLEAR,CONVENTIONAL,0,3,0,3,0,1,1,1,0,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
408,N. KOREA NUCLEAR I,1993,,PRK,ROK,,,NUCLEAR,CONVENTIONAL,0,1,0,3,0,1,1,1,0,3,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
409,OPTN. ACCOUNTABILITY,1993,,ISR,LEB,,,CONVENTIONAL,CONVENTIONAL,3,1,1,2,1,1,1,1,0,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
410,CAMEROON/NIGERIA III,1993,,NIG,CAO,,,CONVENTIONAL,CONVENTIONAL,3,3,1,2,0,1,1,1,0,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
411,HAITI MIL. REGIME,1994,,USA,HAI,,,CONVENTIONAL,,4,0,1,2,1,0,1,1,1,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
412,IRAQ DEPLOY./KUWAIT,1994,,IRQ,KUW,,,CONVENTIONAL,CONVENTIONAL,4,3,0,5,0,0,1,1,0,3,WIN,LOSS,,,,,,,,,,,,,,,,
412,IRAQ DEPLOY./KUWAIT,1994,,IRQ,SAU,,,CONVENTIONAL,CONVENTIONAL,4,3,0,5,0,0,1,1,0,4,LOSS,WIN,,,,,,,,,,,,,,,,
412,IRAQ DEPLOY./KUWAIT,1994,,IRQ,USA,,,CONVENTIONAL,CONVENTIONAL,2,4,0,5,0,1,1,1,0,3,LOSS,WIN,,,,,,,,,,,,,,,,
412,IRAQ DEPLOY./KUWAIT,1994,,IRQ,UKG,,,CONVENTIONAL,CONVENTIONAL,2,3,0,5,0,1,1,1,0,4,LOSS,WIN,,,,,,,,,,,,,,,,
413,ECUADOR/PERU V,1995,,ECU,PER,,,CONVENTIONAL,CONVENTIONAL,3,3,1,2,1,1,1,1,0,2,LOSS,WIN,,,,,,,,,,,,,,,,
415,TAIWAN STRAIT IV,1995,,CHN,TAW,,,CONVENTIONAL,CONVENTIONAL,2,1,0,3,0,1,1,1,1,3,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
415,TAIWAN STRAIT IV,1995,,CHN,USA,,,CONVENTIONAL,CONVENTIONAL,2,3,0,3,0,1,1,1,1,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
416,RED SEA ISLANDS,1995,,ERI,YEM,,,CONVENTIONAL,CONVENTIONAL,3,2,1,2,0,1,1,1,1,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
417,AEGEAN SEA IV,1996,,GRE,TUR,,,CONVENTIONAL,CONVENTIONAL,1,1,0,2,1,1,1,1,0,2,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
418,OPRN GRAPES OF WRATH,1996,,ISR,LEB,,,CONVENTIONAL,,3,0,1,2,1,1,1,1,0,1,NEUTRAL,NEUTRAL,,,,,,,,,,,,,,,,
419,DESERT STRIKE,1996,,USA,IRQ,,,CONVENTIONAL,,3,0,0,2,1,0,1,1,1,3,NEUTRAL,LOSS,,,,,,,,,,,,,,,,
420,N. KOREAN SUBMARINE,1996,,PRK,ROK,,,OTHER,OTHER,3,3,1,2,0,1,1,1,1,2,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,RWA,DRC,,,CONVENTIONAL,CONVENTIONAL,5,4,1,7,0,0,1,1,1,3,LOSS,WIN,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,UGA,DRC,,,CONVENTIONAL,CONVENTIONAL,5,4,1,7,1,0,1,1,1,5,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,ANG,DRC,,,CONVENTIONAL,CONVENTIONAL,3,3,1,7,1,0,1,1,1,5,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,BUI,DRC,,,CONVENTIONAL,CONVENTIONAL,3,3,1,7,0,0,1,1,1,3,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,ERI,DRC,,,CONVENTIONAL,CONVENTIONAL,3,3,1,7,0,0,1,1,1,3,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,RWA,SUD,,,CONVENTIONAL,CONVENTIONAL,3,3,1,7,0,0,1,1,1,3,WIN,LOSS,,,,,,,,,,,,,,,,
421,ZAIRE CIVILWAR,1996,,UGA,SUD,,,CONVENTIONAL,CONVENTIONAL,3,3,1,7,1,0,1,1,1,3,WIN,LOSS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,3,WIN,LOSS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRQ,IRN,,,CONVENTIONAL,,3,,1,12,0,0,1,1,1,4,LOSS,WIN,1,https://drive.google.com/file/d/1gGG6DY6zf3Fl0yxDpjFttHtHwq-IDQCm/view,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,USA,,,,,,,0,12,0,1,1,1,1,1,NEUTRAL,NEUTRAL,0,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://digital-commons.usnwc.edu/cgi/viewcontent.cgi?article=1448&context=ils,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,JOR,IRN,,,,,,,0,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,"https://books.google.com/books?id=RHt4EAAAQBAJ&pg=PA304&lpg=PA304&dq=President+Jimmy+Carter+on+22+September+1980,+was+%22strict+neutrality.%22+However,+because+of+the+grave+danger+of+curtailed+oil+supplies+to+U.S.+allies+in+Europe+and+Japan,&source=bl&ots=8Gc_D_I3BN&sig=ACfU3U3VnXQevjV9gcqMHeOdZLVbXYR0jA&hl=en&sa=X&ved=2ahUKEwjfw9rM-8KEAxXiGVkFHR56C8kQ6AF6BAgIEAM#v=onepage&q&f=false",,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,UKG,,,,,,,0,12,0,1,1,1,1,1,NEUTRAL,NEUTRAL,0,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.marines.mil/Portals/1/Publications/Somalia%20Study_3.pdf,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,RUS,,,,,,,0,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,https://en.wikipedia.org/wiki/Operation_Opera#International_political_reactions,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,FRN,,,,,,,0,12,0,1,1,1,1,1,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,CHI,,,,,,,0,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,SUD,,,,,,,1,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,KUW,,,,,,,0,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRN,UAE,,,,,,,0,12,0,0,1,1,1,1,NEUTRAL,NEUTRAL,0,,,,,,,,,,,,,,,
317,ONSET IRAN/IRAQ WAR,1980,1,IRQ,ISR,,,,,,,0,12,0,1,1,1,1,1,LOSS,WIN,1,,,,,,,,,,,,,,,
