"","crisno","year","crisname","history","crisis","victory1","prevail1","victory2","prevail2","nuclear_start_1","nuclear_start_2","ssbn_count_2024_1","ssbn_count_2024_2","ssbn_start_1","ssbn_start_2","hydrogen_start_1","hydrogen_start_2","sss_start_1","sss_start_2","coder","kinetic2","a1democracy","a2democracy","complexity","salience","independence","a2awareness","a1awareness","a2threat","a1threat"
"36",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,4,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"37",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"38",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"39",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"40",132,1950,"Korean War I",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,1,"0",4,"0",1,1,"Conventional","Conventional"
"41",132,1950,"Korean War I",2,1,0,0,1,1,0,0,11,0,0,0,0,0,0,0,"max",0,0,1,"0",4,"0",1,1,"None","Economic"
"42",132,1950,"Korean War I",2,1,0,0,1,1,0,1,11,14,0,0,0,0,0,0,"max",0,0,1,"0",4,"0",1,1,"Other","Other"
"43",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional, Economic","Conventional, Economic"
"44",133,1950,"Korean War II",1,1,0,1,0,1,0,1,0,14,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional, Economic","Conventional"
"45",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"46",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"47",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"48",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"49",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"50",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,4,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"51",133,1950,"Korean War II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"52",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"53",133,1950,"Korean War II",1,1,0,1,0,1,0,1,6,14,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"54",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,4,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"55",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"56",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"57",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"58",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"59",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,4,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"60",133,1950,"Korean War II",1,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"61",133,1950,"Korean War II",1,1,0,1,0,1,0,0,11,0,0,0,0,0,0,0,"kat",0,0,NA,"0",5,"0",1,1,"None","Economic"
"62",133,1950,"Korean War II",1,1,0,1,0,1,0,1,11,14,0,0,0,0,0,0,"kat",0,0,NA,"0",5,"0",1,1,"Other","Other"
"63",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional, Economic","Conventional, Economic"
"64",133,1950,"Korean War II",2,1,1,1,0,0,0,1,0,14,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional, Economic","Conventional"
"65",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"66",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"67",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"68",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"69",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"70",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"71",133,1950,"Korean War II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"72",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"73",133,1950,"Korean War II",2,1,1,1,0,0,0,1,6,14,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"74",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,4,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"75",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"76",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"77",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"78",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"79",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,4,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"80",133,1950,"Korean War II",2,1,1,1,0,0,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",5,"0",1,1,"Conventional","Conventional"
"81",133,1950,"Korean War II",2,1,1,1,0,0,0,0,11,0,0,0,0,0,0,0,"max",0,0,NA,"0",5,"0",1,1,"None","Economic"
"82",133,1950,"Korean War II",2,1,1,1,0,0,0,1,11,14,0,0,0,0,0,0,"max",0,0,NA,"0",5,"0",1,1,"Other","Other"
"83",134,1951,"Hula Drainage",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"84",135,1951,"Punjab War Scare I",1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,"kat",0,1,1,"0",2,"0",1,1,"Conventional, Other","Conventional, Other"
"85",136,1951,"Suez Canal",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"86",139,1953,"Invasion of Laos I",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"87",140,1953,"Korean War III",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"88",140,1953,"Korean War III",1,1,0,0,1,1,0,1,0,14,0,0,0,1,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"89",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"90",140,1953,"Korean War III",1,1,0,0,1,1,0,1,6,14,0,0,0,1,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"91",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"92",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"93",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"94",140,1953,"Korean War III",1,1,0,0,1,1,0,1,6,4,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"95",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"96",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"97",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"98",140,1953,"Korean War III",1,1,0,0,1,1,0,0,6,0,0,0,0,0,0,0,"kat",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"99",140,1953,"Korean War III",2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"100",140,1953,"Korean War III",2,1,0,1,0,1,0,1,0,14,0,0,0,1,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"101",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"102",140,1953,"Korean War III",2,1,0,1,0,1,0,1,6,14,0,0,0,1,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"103",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"104",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"105",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"106",140,1953,"Korean War III",2,1,0,1,0,1,0,1,6,4,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"107",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"108",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"109",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"110",140,1953,"Korean War III",2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,"max",1,0,NA,"0",3,"0",1,1,"Conventional","Conventional"
"111",142,1953,"Trieste II",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"112",144,1953,"Guatemala",1,1,1,1,0,0,1,0,14,0,0,0,1,0,0,0,"kat",1,1,1,"0",2,"1",0,1,"None","Economic, Other"
"113",144,1953,"Guatemala",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",2,"1",1,1,"Conventional","Conventional"
"114",144,1953,"Guatemala",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",1,0,1,"0",2,"1",1,1,"Conventional","Conventional"
"115",144,1953,"Guatemala",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",0,0,1,"0",2,"1",0,1,"None","Economic"
"116",144,1953,"Guatemala",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"kat",0,0,1,"0",2,"1",0,1,"None","Economic"
"117",145,1954,"Dien Bien Phu",1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,"kat",1,1,0,"0",3,"1",0,1,"Conventional","Conventional"
"118",145,1954,"Dien Bien Phu",1,1,0,0,1,1,1,0,14,0,0,0,1,0,0,0,"kat",0,1,0,"0",3,"1",0,1,"None","Economic"
"119",145,1954,"Dien Bien Phu",1,1,0,0,1,1,0,0,4,11,0,0,0,1,0,0,"kat",0,1,0,"0",3,"1",1,0,"Economic","None"
"120",145,1954,"Dien Bien Phu",1,1,0,0,1,1,0,0,4,6,0,0,0,0,0,0,"kat",0,1,0,"0",3,"1",1,0,"Economic","None"
"121",146,1954,"Taiwan Strait I",1,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"122",146,1954,"Taiwan Strait I",1,1,0,0,0,0,0,1,6,14,0,0,0,1,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"123",147,1955,"Costa Rica/Nic. II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kat",NA,NA,NA,"",NA,NA,NA,NA,"",""
"124",149,1955,"Gaza Raid-Czech. Arms",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,0,"",3,"1",1,1,"Conventional, Economic","Conventional"
"125",149,1955,"Gaza Raid-Czech. Arms",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,1,"",3,"1",1,1,"Conventional, Economic","Conventional"
"126",150,1955,"Pushtunistan II",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"samir",NA,NA,NA,"",NA,NA,NA,NA,"",""
"127",152,1956,"Suez Natn.-War",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"samir",1,0,0,"1",2,NA,1,1,"Conventional","Conventional"
"128",152,1956,"Suez Natn.-War",1,1,0,1,0,1,1,0,4,0,0,0,0,0,0,0,"ben samir joint",1,0,0,"1",2,NA,1,1,"Conventional","Conventional"
"129",152,1956,"Suez Natn.-War",1,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,"samir",1,1,0,"1",2,NA,1,1,"Conventional","Conventional"
"130",152,1956,"Suez Natn.-War",1,1,0,1,0,1,0,1,0,14,0,0,0,1,0,0,"ben samir joint",0,0,1,"1",2,NA,1,1,"Other","None"
"131",152,1956,"Suez Natn.-War",1,1,0,0,1,1,1,1,4,14,0,0,0,1,0,0,"ben samir joint",0,0,1,"1",2,NA,1,1,"Economic, Other","None"
"132",152,1956,"Suez Natn.-War",1,1,0,0,1,1,0,1,4,14,0,0,0,1,0,0,"ben samir joint",0,1,1,"1",2,NA,1,1,"Economic, Other","None"
"133",176,1960,"CONGO I-KATANGA",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"samir",1,0,1,"0",2,"1",1,1,"NONE","NONE"
"134",176,1960,"CONGO I-KATANGA",1,1,1,1,0,0,1,0,11,0,1,0,1,0,0,0,"samir",1,0,1,"0",2,"1",1,1,"NONE","NONE"
"135",176,1960,"CONGO I-KATANGA",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,1,"did it wrong, he coded for certainty",2,"1",1,1,"NONE","NONE"
"136",176,1960,"CONGO I-KATANGA",2,1,1,1,0,0,1,0,11,0,1,0,1,0,0,0,"ben samir joint",1,0,1,"",2,"1",1,1,"NONE","NONE"
"137",177,1960,"MALI FEDERATION",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"ben samir joint",0,1,1,"0",1,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"138",178,1960,"CEN. AMERICA CUBA II",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"samir",1,0,1,"1",1,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"139",178,1960,"CEN. AMERICA CUBA II",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"samir",0,0,0,"1",2,"0",1,1,"NONE","NONE"
"140",178,1960,"CEN. AMERICA CUBA II",1,1,1,1,1,1,0,1,0,14,0,1,0,1,0,1,"samir",1,0,1,"1",1,"0",1,1,"CONVENTIONAL","NONE"
"141",178,1960,"CEN. AMERICA CUBA II",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,1,"",1,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"142",178,1960,"CEN. AMERICA CUBA II",2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"ben samir joint",0,0,0,"",2,"0",1,1,"NONE","NONE"
"143",178,1960,"CEN. AMERICA CUBA II",2,1,1,1,1,1,0,1,0,14,0,1,0,1,0,1,"ben samir joint",1,0,1,"",1,"0",1,1,"CONVENTIONAL","NONE"
"144",180,1961,"PATHET LAO OFFENSIVE",1,1,0,1,0,1,1,1,11,14,1,1,1,1,0,1,"samir",1,0,1,"1",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"145",180,1961,"PATHET LAO OFFENSIVE",1,1,0,1,0,1,1,0,11,0,1,0,1,0,0,0,"ben samir joint",1,0,0,"0",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"146",180,1961,"PATHET LAO OFFENSIVE",1,1,1,1,0,0,1,0,11,0,1,0,1,0,0,0,"ben samir joint",1,0,0,"0",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"147",180,1961,"PATHET LAO OFFENSIVE",1,1,0,1,0,1,1,1,11,14,1,1,1,1,0,1,"ben samir joint",1,0,1,"",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"148",180,1961,"PATHET LAO OFFENSIVE",1,1,0,1,0,1,1,0,11,0,1,0,1,0,0,0,"samir",1,0,0,"",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"149",180,1961,"PATHET LAO OFFENSIVE",1,1,1,1,0,0,1,0,11,0,1,0,1,0,0,0,"samir",1,0,0,"",2,"1",1,1,"CONVENTIONAL","CONVENTIONAL"
"150",181,1961,"BAY OF PIGS",1,1,0,0,1,1,1,0,14,0,1,0,1,0,1,0,"samir",1,1,0,"0",4,"1",1,1,"",""
"151",181,1961,"BAY OF PIGS",1,1,1,1,0,0,1,1,11,14,1,1,1,1,0,1,"ben samir joint",0,0,1,"0",1,"1",1,1,"","CONVENTIONAL"
"152",181,1961,"BAY OF PIGS",2,1,0,0,1,1,1,0,14,0,1,0,1,0,1,0,"ben samir joint",1,1,0,"",4,"1",1,1,"",""
"153",181,1961,"BAY OF PIGS",2,1,1,1,0,0,1,1,11,14,1,1,1,1,0,1,"samir",0,0,1,"",1,"1",1,1,"","CONVENTIONAL"
"154",182,1961,"PUSHTUNISTAN III",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"samir",1,0,0,"0",2,"0",1,1,"",""
"155",182,1961,"PUSHTUNISTAN III",2,1,0,1,0,1,1,0,11,0,1,0,1,0,0,0,"ben samir joint",1,0,0,"0",2,"0",1,1,"",""
"156",182,1961,"PUSHTUNISTAN III",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"samir",1,0,1,"0",2,"0",1,1,"",""
"157",182,1961,"PUSHTUNISTAN III",2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,0,"",2,"0",1,1,"",""
"158",182,1961,"PUSHTUNISTAN III",1,1,0,1,0,1,1,0,11,0,1,0,1,0,0,0,"samir",1,0,0,"",2,"0",1,1,"",""
"159",182,1961,"PUSHTUNISTAN III",2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"ben samir joint",1,0,1,"",2,"0",1,1,"",""
"160",183,1961,"KUWAIT INDEPENDENCE",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"samir",0,0,0,"0",3,"1",1,1,"","CONVENTIONAL"
"161",183,1961,"KUWAIT INDEPENDENCE",1,1,0,0,1,1,0,1,0,4,0,0,0,1,0,0,"samir",0,0,1,"0",3,"1",1,1,"","CONVENTIONAL"
